Energy Carrier;Primary Energy Factor GEG   [-];Relation Calorific to Heating Value GEG  [-];GWP spezific to heating value GEG [g/kWh];Use
Light fuel oil;1,1;1,06;310;thermal
Natural gas;1,1;1,11;240;thermal
Liquefied petroleum gas (LPG);1,1;1,09;270;thermal
Hard coal;1,1;1,04;400;thermal
Soft coal;1,2;1,07;430;thermal
Biogas (general);1,1;1,11;140;thermal
Biogas (generated close to building);0,3;1,11;75;thermal
Biomethan (Condensing Boiler);0,7;1,11;140;thermal
Biomethan (Combined Heat and Power);0,5;1,11;140;thermal
Bio-oil (general);1,1;1,06;210;thermal
Bio-oil (generated close to building);0,3;1,06;105;thermal
Biogas Bio-oil Mix (general);1,1;1,085;175;thermal
Wood;0,2;1,08;20;thermal
District heating (Combined Heat and Power) Coal;0,7;1;300;thermal
District heating (Combined Heat and Power) Gas or Liquid fuels;0,7;1;180;thermal
District heating (Combined Heat and Power) Renewable fuels;0;1;40;thermal
District heating (Heating Plant) Coal;1,3;1;400;thermal
District heating (Heating Plant) Gas or Liquid fuels;1,3;1;300;thermal
District heating (Heating Plant) Renewable fuels;0,1;1;60;thermal
Solarthermal;0;1;0;thermal
Geothermal;0;1;0;thermal
Ambient heat;0;1;0;thermal
Ambient cold;0;1;0;thermal
Heat via Residential Waste;0;1;20;thermal
Heat via close to building Combined Heat and Power;0,6;1;180;thermal
Waste Heat generated close to building;0;1;40;thermal
Electricity grid mix 2018 (GEMIS) ;2,4;1;505;electric
Electricity grid mix;1,8;1;560;electric
Electricity grid mix Replacement;2,8;1;860;electric
None;0;1;0;none
NoHeating;0;1;0;none
District cooling;0,72;1;224;thermal
NoCooling;0;1;0;none
