typ_18599;nr_18599;Raum-Solltemperatur Heizung;Raum-Solltemperatur Kühlung;Minimaltemperatur Auslegung Heizung;Maximaltemperatur Auslegung Kühlung;Außenluftvolumenstrom;E_m;k_A;k;k_VB;k_WF
Einzelbüro;01;21;24;20;26;4;500;0,84;0,9;1;1,194
Gruppenbüro (2 bis 6 Arbeitsplätze);02;21;24;20;26;4;500;0,92;1,25;1;1,194
Großraumbüro (ab 7 Arbeitsplätze);03;21;24;20;26;6;500;0,93;2,5;1;1,194
Besprechung/Sitzungszimmer/Seminar;04;21;24;20;26;15;500;0,93;1,25;1;1,194
Schalterhalle;05;21;24;20;26;2;200;0,87;1,5;1;1,194
Einzelhandel/Kaufhaus;06;21;24;20;26;4;300;0,93;2,5;1,5;1,194
Einzelhandel/Kaufhaus (Lebensmittelabteilung mit Kühlprodukten);07;21;24;20;26;4;300;0,93;2,5;1;1,194
Klassenzimmer (Schule), Gruppenraum (Kindergarten);08;21;24;20;26;10;300;0,97;2;1;1,194
Hörsaal, Auditorium;09;21;24;20;26;30;500;0,92;2,5;1;1,194
Bettenzimmer (Zweibettzimmer im Krankenhaus, Pflegeheim);10;22;24;20;26;5;300;1;1,5;1;1,194
Hotelzimmer (Doppelzimmer);11;21;24;20;26;3;200;1;1,25;1;1,194
Kantine (Kantine);12;21;24;20;26;18;200;0,97;2,5;1;1,194
Kantine (Restaurant);13;21;24;20;26;18;200;1;2,5;1;1,194
Küche in Nichtwohngebäuden;14;21;24;20;26;90;500;0,96;1,5;1;1,194
Küche (Vorbereitung, Lager);15;21;24;20;26;15;300;1;1,5;1;1,194
WC und Sanitärräume in Nichtwohngebäuden;16;21;24;20;26;15;200;1;0,8;1;1,194
Sonstige Aufenthaltsräume (Pausenraum, Wartezimmer);17;21;24;20;26;7;300;0,93;1,25;1;1,194
Sonstige Aufenthaltsräume (Garderobe, Teeküche, Lager, Archiv, Flur);18;21;24;20;26;0;100;1;1,5;1;1,194
Verkehrsfläche (Flur);19;21;24;20;26;0;100;1;0,8;1;1,194
Lager (Technik, Archiv);20;21;24;20;26;0;100;1;1,5;2;1,194
Rechenzentrum;21;21;24;20;26;1;500;0,96;1,5;1;1,194
Gewerbliche und industrielle Hallen (schwere Arbeit, stehende Tätigkeit);22.1;15;28;15;30;4;300;0,85;2,5;1;1,194
Gewerbliche und industrielle Hallen (mittelschwere Arbeit, überw. stehende Tätigkeit);22.2;17;26;15;28;3;400;0,85;2,5;1;1,194
Gewerbliche und industrielle Hallen (leichte Arbeit, überw. sitzende Tätigkeit);22.3;20;24;18;26;2;500;0,85;2,5;1;1,194
Zuschauerbereich (Theater, Veranstaltungsbauten);23;21;24;20;26;40;200;0,97;4;1;1,194
Theater (Foyer);24;21;24;20;26;25;300;1;4;1;1,194
Bühne (Theater, Veranstaltungsbauten);25;21;24;20;26;0;1000;0,9;2,5;1;1,194
Messe/Kongress;26;21;24;20;26;7;300;0,93;5;1;1,194
Ausstellungsräume, Museum;27;21;24;20;26;2;200;0,88;2;1;1,194
Bibliothek - Lesesaal;28;21;24;20;26;8;500;0,88;1,5;1;1,194
Bibliothek - Freihandbereich;29;21;24;20;26;2;200;1;1,5;1,7;1,194
Bibliothek - Magazin und Depot;30;21;24;20;26;3;100;1;1,5;2;1,194
Turnhalle (ohne Zuschauerbereich);31;21;24;20;26;3;300;1;2;1;1,194
Parkhaus (Büro- und Privatnutzung);32;21;24;20;26;8;75;1;2;1;1,194
Parkhaus (öffentliche Nutzung);33;21;24;20;26;16;75;1;4;1;1,194
Saunabereich;34;24;24;15;;15;200;1;1;1;1,194
Fitnessraum;35;20;24;18;26;12;300;1;2;1;1,194
Labor;36;22;24;20;26;25;500;0,92;1,25;1;1,194
Fitnessraum (Untersuchungs- und Behandlungsräume);37;22;24;20;26;10;500;1;1,2;1;1,194
Spezialpflegebereiche (Aufwachräume, Intensivmedizin, Spezialpflege, Frühgeborene);38;24;24;22;26;30;300;1;1,2;1;1,194
Flure des allgmeinen Pflegebereichs;39;22;24;20;26;10;125;1;1;1;1,194
Arztpraxen und theratpeutische Praxen;40;22;24;20;26;10;500;1;1,2;1;1,194
Lagerhallen, Logistikhallen;41;12;26;12;28;1;150;1;2,4;1,8;1,194
Wohnen (EFH);42;20;26;20;28;1;200;1;1,25;1;1,194
Wohnen (MFH);43;20;26;20;28;1;200;1;1,25;1;1,194
Wohnen;44;20;26;20;28;1;200;1;1,25;1;1,194
